source_file,cable_id,section,terminal_context,record_text,related_cable,pair_low,pair_high
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca 6680P 1 - 25 lsp/bp 1 pic type E,ca 6680P 1 - 25 lsp/bp 1 pic type E,6680P,1,25
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca 6680P 1 - 25 lsp/bp 1 pic type E,6680P:1-25 G4,6680P,1,25
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,4 R 6530-16 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 4 - 15 lsp/bp 1,6680P,4,15
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,4 R 6530-16 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:4-15 G4,6680P,4,15
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,5 R 6530.5 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 11 - 22 lsp/bp 1,6680P,11,22
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,5 R 6530.5 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:11-22 G4,6680P,11,22
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,6 R 6530-12 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 26 - 37 lsp/bp 1,6680P,26,37
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,6 R 6530-12 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:26-37 G4,6680P,26,37
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca 6680P 26 - 50 lsp/bp 1 pic type E,ca 6680P 26 - 50 lsp/bp 1 pic type E,6680P,26,50
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca 6680P 26 - 50 lsp/bp 1 pic type E,6680P:26-50 G4,6680P,26,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,8 R 6530.9 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 39 - 50 lsp/bp 1,6680P,39,50
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,8 R 6530.9 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:39-50 G4,6680P,39,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca 6680P 51 - 100 lsp/bp 1 pic type E,ca 6680P 51 - 100 lsp/bp 1 pic type E,6680P,51,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca 6680P 51 - 100 lsp/bp 1 pic type E,6680P:51-100 G4,6680P,51,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,2 F 6530 LOT 31 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 51 - 75 lsp/bp 1,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,2 F 6530 LOT 31 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:51-75 G4,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,3 F 6530 LOT 34 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 51 - 75 lsp/bp 1,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,3 F 6530 LOT 34 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:51-75 G4,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,4 F 6530 LOT 56 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 51 - 75 lsp/bp 1,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,4 F 6530 LOT 56 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:51-75 G4,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,5 F 6530 LOT 58 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 51 - 75 lsp/bp 1,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,5 F 6530 LOT 58 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:51-75 G4,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,6 F 6530 LOT 37 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 51 - 75 lsp/bp 1,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,6 F 6530 LOT 37 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:51-75 G4,6680P,51,75
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,7 F 6530 LOT 40 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 76 - 100 lsp/bp 1,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,7 F 6530 LOT 40 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:76-100 G4,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,8 F 6530 LOT 46 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 76 - 100 lsp/bp 1,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,8 F 6530 LOT 46 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:76-100 G4,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,9 F 6530 LOT 48 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 76 - 100 lsp/bp 1,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,9 F 6530 LOT 48 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:76-100 G4,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,10 F 6530 LOT 50 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 76 - 100 lsp/bp 1,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,10 F 6530 LOT 50 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:76-100 G4,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,11 F 6530 LOT 52 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,ca 6680P 76 - 100 lsp/bp 1,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,11 F 6530 LOT 52 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9,6680P:76-100 G4,6680P,76,100
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,ca PG53 3126 - 3150 lsp/bp 576 sys:type SLC96,PG53,3126,3150
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,PG53,3151,3175
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 51 - 54 lsp/bp 97,CA4434,51,54
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 55 - 58 lsp/bp 197,CA4434,55,58
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 59 - 62 lsp/bp 297,CA4434,59,62
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG53 3151 - 3175 lsp/bp 51 sys:type SLC96,ca CA4434 63 - 66 lsp/bp 397,CA4434,63,66
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,ca PG63 501 - 550 lsp/bp 526 sys:type SLC5,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,ca MRA4434A 1 - 144 lsp/bp 601 sys:type ASAM3,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,ca PG31 411 - 411 lsp/bp 111 sys:type ISLC96,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,ca PG31 413 - 413 lsp/bp 113 sys:type ISLC96,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,ca PG31 458 - 458 lsp/bp 158 sys:type ISLC96,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,ca PG31 461 - 463 lsp/bp 161 sys:type ISLC96,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 76 - 96,DD,76,96
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 301 - 308,DD,301,308
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 310 - 396,DD,310,396
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 101 - 110,DD,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 112 - 112,DD,112,112
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 114 - 157,DD,114,157
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 159 - 160,DD,159,160
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 164 - 196,DD,164,196
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 201 - 296,DD,201,296
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 1 - 50,DD,1,50
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,dd 401 - 525,DD,401,525
"ACR 6680P, 1-1200.pdf",6680P,OUT COUNT,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,ca 6680P 1 - 1200 lsp/bp 1,6680P,1,1200
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,CA4434:51-66 G4,CA4434,51,66
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,MRA4434A:1-144 G4,MRA4434A,1,144
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:411-411 G4,PG31,411,411
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:413-413 G4,PG31,413,413
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:458-458 G4,PG31,458,458
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:461-463 G4,PG31,461,463
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG31:609-609 G4,PG31,609,609
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG53:3126-3175 G4,PG53,3126,3175
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,ca PG31 609 - 609 lsp/bp 309 sys:type ISLC96,PG63:501-550 G4,PG63,501,550
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,1 F 6503 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 101 - 125 lsp/bp 1,6680P,101,125
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,1 F 6503 N PALAFOX ST type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:101-125 G4,6680P,101,125
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,2 R 57 C HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 101 - 125 lsp/bp 1,6680P,101,125
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,2 R 57 C HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:101-125 G4,6680P,101,125
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,3 F 57 F HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,ca 6680P 101 - 110 lsp/bp 1,6680P,101,110
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,3 F 57 F HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA,6680P:101-110 G4,6680P,101,110
"ACR 6680P, 1-1200.pdf",6680P,IN COUNT,4 F 25 HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA ind OUT,ca 6680P 116 - 125 lsp/bp 1,6680P,116,125
"ACR 6680P, 1-1200.pdf",6680P,QUALIFIED PAIRS,4 F 25 HOWARD DR type FIXED rz 13 rt 4434 tpr 443450 cz 9 CSA ind OUT,6680P:116-125 G4,6680P,116,125
